Query ID,Query Name,Ground Truths,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5
2917,episode of care,patient care,psychotherapy,patient care,"surgical procedures , operative",nursing care,signs and symptoms
3525,gastric outlet obstruction,stomach diseases,intestinal diseases,colonic diseases,fistula,digestive system diseases,endocrine system diseases
4484,infant formula,"infant food; milk substitutes; food , formulated",beverages,biological products,plant preparations,pharmaceutical preparations,food and beverages
5547,miller fisher syndrome,cerebellar diseases; ocular motility disorders,nervous system diseases,peripheral nervous system diseases,neuromuscular diseases,cranial nerve diseases,neurologic manifestations
2689,"egypt , ancient",ancient lands,"asia , western",historical geographic locations,asia,geographic locations,biological phenomena
8967,tumor escape,immune system phenomena,adaptive immunity,immunity,immune system phenomena,disease attributes,"insurance , health"
8779,tobacco industry,manufacturing industry,industry,manufacturing industry,product packaging,"technology , industry , and agriculture","technology , pharmaceutical"
8272,solid phase extraction,chemical fractionation,"chemistry techniques , analytical",chromatography,"chromatography , liquid",molecular probe techniques,chemical phenomena
5252,mass drug administration,disease eradication,drug therapy,drug administration routes,public health practice,therapeutic uses,health planning
4188,histological techniques,clinical laboratory techniques,"diagnostic techniques , endocrine","diagnostic techniques , surgical",diagnostic techniques and procedures,specimen handling,clinical chemistry tests
3631,genetic carrier screening,genetic testing,cytogenetic analysis,clinical laboratory techniques,genetic techniques,hematologic tests,genetic variation
4735,"ischemic attack , transient",brain ischemia,brain ischemia,cerebrovascular disorders,intracranial embolism and thrombosis,stroke,brain diseases
2229,dental fistula,oral fistula,mouth diseases,tooth diseases,periodontal diseases,head and neck neoplasms,dental physiological phenomena
3124,factor vii,enzyme precursors; blood coagulation factors,blood coagulation factors,enzyme precursors,protein precursors,cytokines,blood coagulation factor inhibitors
1131,capital expenditures,health expenditures,economics,costs and cost analysis,fees and charges,financial management,health care economics and organizations
7023,professional corporations,professional practice,social sciences,organizations,industry,manufacturing industry,professional practice
2776,emergence delirium,postoperative complications; delirium,anesthesia,mental disorders,signs and symptoms,anesthesia and analgesia,infections
1823,complement factor d,complement activating enzymes,complement system proteins,enzyme precursors,protein precursors,blood coagulation factors,immune system phenomena
7941,semen preservation,tissue preservation,tissue preservation,"preservation , biological",physiological phenomena,therapeutics,specialty uses of chemicals
6479,patient selection,patient care management; research design,epidemiologic research design,"outcome and process assessment , health care",health care evaluation mechanisms,epidemiologic methods,"outcome assessment , health care"
5966,nitric oxide donors,cardiovascular agents; molecular mechanisms of pharmacological action,membrane transport modulators,pharmacologic actions,chemical actions and uses,molecular mechanisms of pharmacological action,therapeutic uses
2502,"dominance , ocular",ocular physiological phenomena,ocular physiological phenomena,visual perception,vision tests,optical phenomena,eye
9038,united states indian health service,united states public health service,united states public health service,united states dept . of health and human services,united states government agencies,federal government,health services administration
3308,fisheries,aquaculture; manufacturing and industrial facilities,food industry,"technology , industry , and agriculture",islands,industry,environment
6173,olive oil,plant oils,plant oils,oils,plant preparations,lipids,environment and public health
6754,plant pathology,microbiology; developmental biology,plant physiological phenomena,medicine,plants,health occupations,biological science disciplines
24,"abortion , criminal",crime,"abortion , spontaneous",pregnancy complications,obstetric surgical procedures,crime,pregnancy
4945,leukemia inhibitory factor,cytokines,cytokines,intercellular signaling peptides and proteins,fibroblast growth factors,blood coagulation factor inhibitors,molecular mechanisms of pharmacological action
7288,"radiography , dental , digital","radiographic image enhancement; radiography , dental",radiography,ultrasonography,diagnostic imaging,microscopy,dentistry
7103,"protein modification , translational",gene expression regulation; protein biosynthesis,protein biosynthesis,peptide biosynthesis,biochemical phenomena,"protein structure , tertiary",protein conformation
5714,muscle fatigue,musculoskeletal physiological phenomena,muscular diseases,signs and symptoms,neuromuscular diseases,respiration disorders,musculoskeletal diseases
3,5 ' flanking region,gene components,base sequence,"repetitive sequences , nucleic acid",molecular structure,"regulatory sequences , nucleic acid",molecular conformation
4260,"hospitals , animal","housing , animal; hospitals",hospitals,"hospitals , special","hospitals , public",health facilities,animal diseases
2607,ear canal,"ear , external","ear , external",sense organs,ear,head,respiratory system
8302,soybean proteins,"soy foods; plant proteins , dietary; plant proteins",plant proteins,blood proteins,dietary proteins,biological products,antibodies
5919,neuromuscular blockade,anesthesia and analgesia,nerve block,"anesthesia , conduction",anesthesia,physiological effects of drugs,anesthesia and analgesia
7359,receptor aggregation,cell physiological phenomena,signal transduction,"receptors , cytokine","receptors , peptide","receptors , cell surface",cell physiological phenomena
1371,central nervous system vascular malformations,vascular malformations; nervous system malformations,nervous system malformations,cerebrovascular disorders,nervous system diseases,central nervous system diseases,cardiovascular abnormalities
2577,drug tolerance,pharmacological phenomena,drug resistance,pharmacological phenomena,drug therapy,microbiological phenomena,neurons
4579,insulin antibodies,antibodies,antibodies,"antibodies , viral",blood proteins,membrane proteins,carrier proteins
7425,"receptors , polymeric immunoglobulin","receptors , fc","receptors , cell surface","receptors , cytoplasmic and nuclear",membrane glycoproteins,antibodies,membrane proteins
6048,nucleotide motifs,nucleic acid conformation; base sequence,amino acid sequence,base sequence,molecular structure,protein structural elements,"regulatory sequences , nucleic acid"
4288,host microbial interactions,biological phenomena; microbiological phenomena,microbiological phenomena,microbiological techniques,bacterial physiological phenomena,"drug resistance , microbial",virus physiological phenomena
7349,"receptor , fibroblast growth factor , type 2","receptors , fibroblast growth factor","receptors , fibroblast growth factor","receptors , growth factor","receptors , cytokine","receptors , peptide",fibroblast growth factors
4433,impulsive behavior,behavior,behavior,behavior and behavior mechanisms,social behavior,activity,crime
389,andersen syndrome,long qt syndrome,congenital abnormalities,chromosome disorders,nervous system malformations,"congenital , hereditary , and neonatal diseases and abnormalities",sensation disorders
2685,egg yolk,eggs,animal structures,reproduction,"amino acids , peptides , and proteins",animals,peptides
5180,mammary analogue secretory carcinoma,carcinoma,head and neck neoplasms,adenocarcinoma,carcinoma,neoplasms by histologic type,mouth diseases
8180,smooth muscle tumor,"neoplasms , muscle tissue","neoplasms , muscle tissue","neoplasms , connective and soft tissue","neoplasms , connective tissue",muscular diseases,sarcoma
8835,total disc replacement,"arthroplasty , replacement",arthroplasty,"arthroplasty , replacement",prosthesis implantation,orthopedic procedures,physical therapy modalities
8847,trace elements,elements,elements,metals,"metals , heavy","metals , light",transition elements
5917,neurology,medicine,internal medicine,physical and rehabilitation medicine,"diagnostic techniques , neurological",medicine,biological science disciplines
5872,"neoplastic cells , circulating",cells; neoplasm metastasis,neoplasms,cells,neoplasms by histologic type,"cells , cultured",neoplastic processes
6137,occupational injuries,wounds and injuries,wounds and injuries,occupational diseases,environmental exposure,"fractures , bone",skin diseases
9366,white coat hypertension,hypertension,hypertension,kidney diseases,lung diseases,liver diseases,clinical laboratory techniques
6134,occupational health nursing,nursing care,nursing,nursing care,health,delivery of health care,patient care
4263,"hospitals , county","hospitals , public","hospitals , public",hospitals,"hospitals , special",cities,health facilities
2970,essay,publication formats,publication formats,clinical study,clinical trial,publication components,study characteristics
9331,"water pollutants , chemical",water pollutants,water pollutants,environmental pollutants,toxic actions,chemical actions and uses,environmental pollution
1925,contraception behavior,reproductive behavior,contraception,behavior,pregnancy,reproduction,reproductive physiological phenomena
8950,"tuberculosis , female genital","genital diseases , female","genital diseases , male","genital diseases , female",sexually transmitted diseases,tuberculosis,bacterial infections
864,biometric identification,security measures,specimen handling,forensic medicine,radiography,molecular probe techniques,forensic sciences
3896,hair removal,cosmetic techniques,skin diseases,therapeutics,skin and connective tissue diseases,rehabilitation,specialty uses of chemicals
2651,"education , dental , graduate","education , graduate; education , dental","education , graduate","education , professional","education , continuing",education,dentistry
5293,maze learning,spatial learning,learning,"reinforcement , psychology","psychology , educational",mental processes,education
5501,"microscopy , electrochemical , scanning","microscopy , scanning probe","microscopy , scanning probe",microscopy,"microscopy , electron",diagnostic imaging,ultrasonography
1569,"chromosomes , artificial , human","chromosomes , human; chromosomes , artificial , mammalian","chromosomes , artificial","chromosomes , artificial , mammalian",chromosomes,"chromosomes , mammalian","chromosomes , human"
4116,hepatitis a antibodies,hepatitis antibodies,hepatitis antibodies,"antibodies , viral",antibodies,viral proteins,blood proteins
7790,root resorption,tooth resorption,tooth diseases,periodontal diseases,dental physiological phenomena,bone diseases,endocrine system diseases
584,arterial pressure,blood pressure,vascular surgical procedures,cardiovascular physiological phenomena,vascular diseases,cardiovascular surgical procedures,anesthesia and analgesia
4209,hiv protease inhibitors,protease inhibitors,protease inhibitors,enzyme inhibitors,blood coagulation factor inhibitors,molecular mechanisms of pharmacological action,rna
3554,gene knockdown techniques,gene targeting,genetic engineering,gene expression,genetic techniques,"recombination , genetic",biological therapy
8321,specialty boards,certification,professional practice,health occupations,dentistry,industry,organizations
8754,tissue,fully formed anatomical structure,tissues,connective tissue,epithelium,musculoskeletal system,body regions
403,"anesthesia , intravenous",anesthesia,anesthesia,anesthesia and analgesia,"anesthesia , conduction",drug administration routes,injections
7903,secondary care,delivery of health care; referral and consultation,patient care,comprehensive health care,delivery of health care,nursing care,hospitals
9255,vision screening,mass screening; vision tests,vision tests,visual perception,ocular physiological phenomena,diagnostic imaging,"education , professional"
7467,reduced folate carrier protein,solute carrier proteins,carrier proteins,solute carrier proteins,cation transport proteins,ion pumps,membrane transport proteins
1020,boston,cities; massachusetts,cities,great lakes region,united states,geographic locations,europe
8901,"transplantation , heterologous",transplantation,transplantation,tissue transplantation,organ transplantation,cell transplantation,"surgical procedures , operative"
5461,methyl cpg binding domain,protein domains,protein domains,protein interaction domains and motifs,amino acid motifs,"protein structure , tertiary",protein conformation
716,axon initial segment,axons,axons,cell surface extensions,nerve fibers,neurons,cytoplasmic structures
1056,breast density,body constitution,body weights and measures,body size,body constitution,growth,body weight
906,blood culture,microbiological techniques,clinical laboratory techniques,clinical chemistry tests,hematologic tests,in vitro techniques,blood physiological phenomena
2731,electronic nose,diagnostic equipment; electrical equipment and supplies,electrical equipment and supplies,sense organs,face,head,equipment and supplies
461,"animals , newborn",animal population groups,animals,animal population groups,vertebrates,"animals , laboratory","animals , inbred strains"
1171,"carcinoma , small cell",carcinoma,carcinoma,adenocarcinoma,neoplasms by histologic type,neoplasms,neoplasms by site
7830,"salivary glands , minor",salivary glands,salivary glands,mouth,face,sense organs,respiratory system
4699,introductory journal article,journal article,journal article,publication formats,publication components,clinical study,study characteristics
3436,fragile x syndrome,sex chromosome disorders,chromosome disorders,"abnormalities , multiple",congenital abnormalities,"congenital , hereditary , and neonatal diseases and abnormalities","infant , newborn , diseases"
2541,drug costs,health care costs,fees and charges,health care costs,economics,costs and cost analysis,health care economics and organizations
7202,pulmonary edema,lung diseases,respiration disorders,"signs and symptoms , respiratory",lung diseases,respiratory tract diseases,"diagnostic techniques , respiratory system"
5368,medullary sponge kidney,"kidney diseases , cystic",kidney diseases,renal insufficiency,reproductive and urinary physiological phenomena,lung diseases,endocrine system diseases
5883,nerve growth factor,nerve growth factors,nerve growth factors,nerve tissue proteins,intercellular signaling peptides and proteins,intracellular signaling peptides and proteins,cytokines
7833,salmonella food poisoning,salmonella infections,poisoning,heavy metal poisoning,environmental exposure,environmental pollution,liver diseases
1624,civil defense,government programs,environmental exposure,public health,"social control , formal",public health practice,crime
9161,ventral striatum,corpus striatum,extremities,body regions,head,sense organs,eye
5165,magnets,manufactured materials,electromagnetic phenomena,magnetic phenomena,electrical equipment and supplies,radiation,physical phenomena
2797,employer health costs,health care costs,health care costs,costs and cost analysis,delivery of health care,vital statistics,economics
1519,"cholesterol , dietary",cholesterol,cholesterol,lipids,digestive system and oral physiological phenomena,nutritional physiological phenomena,"diet , food , and nutrition"
6992,primary care nursing,nursing care,nursing care,nursing,nursing process,patient care,comprehensive health care
7872,school mental health services,school health services; mental health services; health services administration,school health services,mental health services,preventive health services,schools,community health services
7222,punishment,"reinforcement , psychology; social control , informal",behavior,"social control , formal",crime,therapeutics,ethics
8496,substrate specificity,biochemical phenomena,biochemical phenomena,metabolism,pharmacological phenomena,blood coagulation factor inhibitors,molecular mechanisms of pharmacological action
5394,"meningitis , escherichia coli","escherichia coli infections; meningitis , bacterial",meningitis,central nervous system infections,central nervous system diseases,intestinal diseases,neoplasms by site
6985,presynaptic terminals,synapses; axons,axons,nerve fibers,neurons,peripheral nerves,nervous system
1341,cell survival,cell physiological phenomena,physiological phenomena,immunity,immune system phenomena,cell physiological phenomena,growth and development
9207,vietnam conflict,armed conflicts,armed conflicts,asia,geographic locations,ecological and environmental phenomena,europe
6605,personnel selection,personnel management,personnel management,organization and administration,occupational groups,health personnel,professional practice
2201,dental anxiety,anxiety,emotions,head and neck neoplasms,mental disorders,mouth diseases,face
5927,neuronal plasticity,nervous system physiological phenomena,nervous system physiological phenomena,musculoskeletal and neural physiological phenomena,musculoskeletal physiological phenomena,sensation,central nervous system diseases
2627,"ecological systems , closed","environment , controlled; ecosystem",ecological and environmental phenomena,organic chemistry phenomena,geological phenomena,environment,meteorological concepts
4531,infrared rays,sunlight,light,electromagnetic radiation,optical phenomena,spectrum analysis,radiation
1915,"contact lenses , hydrophilic",contact lenses,lenses,optical devices,microscopy,electrical equipment and supplies,diagnostic imaging
1442,"chemistry , analytic",chemistry,chemistry,"chemistry , pharmaceutical",biochemistry,natural science disciplines,science
1814,comparative genomic hybridization,molecular diagnostic techniques; nucleic acid hybridization; cytogenetic analysis,cytogenetic analysis,nucleic acid hybridization,sequence analysis,specimen handling,genetic techniques
2050,crohn disease,inflammatory bowel diseases,colonic diseases,intestinal diseases,immune system diseases,digestive system diseases,digestive system neoplasms
3814,graft survival,host vs graft reaction,physiological phenomena,health,immune system phenomena,delivery of health care,population characteristics
2139,"databases , nucleic acid","databases , chemical; databases , genetic","databases , genetic","databases , chemical",information services,medical informatics,informatics
5496,microsatellite repeats,tandem repeat sequences,"repetitive sequences , nucleic acid",base sequence,"regulatory sequences , nucleic acid",genome components,mutagenesis
5950,new zealand,pacific islands,islands,geographic locations,asia,north america,united states
9144,vascular remodeling,"pathological conditions , anatomical; cardiovascular physiological phenomena; pathologic processes",vascular diseases,cardiovascular diseases,cardiovascular abnormalities,postoperative complications,cardiovascular surgical procedures
8310,spacecraft,space flight,equipment and supplies,atmosphere,surgical equipment,communications media,meteorological concepts
6932,pragmatic clinical trial,randomized controlled trial,clinical trials as topic,clinical studies as topic,"disease models , animal",prognosis,"models , animal"
9372,whole body imaging,diagnostic imaging,diagnostic imaging,molecular imaging,multimodal imaging,tomography,ultrasonography
7086,protein corona,proteins,membrane proteins,biochemical phenomena,antigens,organelles,membrane glycoproteins
6129,occupational dentistry,dentistry,dentistry,"dentistry , operative",public health dentistry,forensic sciences,environment and public health
991,bone marrow neoplasms,bone marrow diseases; hematologic neoplasms,neoplasms by histologic type,neoplasms by site,neoplasms,hematologic diseases,bone diseases
3847,"group practice , dental",group practice,professional practice,dentistry,organizations,tooth diseases,family
8714,thymus extracts,tissue extracts,tissue extracts,fluids and secretions,body fluids,complex mixtures,blood
3342,folate receptor 1,"antigens , neoplasm","receptors , cell surface","receptors , cytoplasmic and nuclear","receptors , peptide","receptors , cytokine","receptors , growth factor"
6264,organic cation transporter 2,organic cation transport proteins,cation transport proteins,organic cation transport proteins,solute carrier proteins,ion pumps,membrane transport proteins
413,anger,emotions,emotions,behavioral symptoms,emotional intelligence,behavior and behavior mechanisms,social behavior
3601,"genes , mating type , fungal","genes , fungal","genes , microbial",genes,"genome , microbial",genome,genome components
937,blood volume determination,"diagnostic techniques , cardiovascular",blood chemical analysis,hematologic tests,clinical chemistry tests,"diagnostic techniques , cardiovascular",blood physiological phenomena
3368,food inspection,food safety,food technology,food quality,food industry,food,food and beverages
4455,indiana,great lakes region,great lakes region,united states,cities,north america,geographic locations
8721,"thyroid cancer , papillary","adenocarcinoma , papillary; thyroid neoplasms",adenocarcinoma,endocrine gland neoplasms,carcinoma,endocrine system diseases,head and neck neoplasms
4441,incidental findings,diagnosis,diagnosis,prognosis,"outcome and process assessment , health care",epidemiologic factors,entity
753,basal forebrain,olfactory cortex,head,cerebral cortex,extremities,sense organs,body regions
5565,"mitochondria , heart","mitochondria , muscle",heart,cardiovascular system,organelles,muscles,tissues
1846,computer graphics,data display; computing methodologies,data display,computer simulation,computing methodologies,artificial intelligence,computer systems
1841,compressive strength,mechanical phenomena,mechanical phenomena,pressure,musculoskeletal physiological phenomena,musculoskeletal system,skeleton
1648,clinical enzyme tests,clinical chemistry tests; enzyme assays,clinical laboratory techniques,diagnostic techniques and procedures,diagnosis,prognosis,hematologic tests
834,biological control agents,biological products,pharmacologic actions,physiological effects of drugs,chemical actions and uses,molecular mechanisms of pharmacological action,therapeutic uses
7913,seed bank,biological specimen banks,reproductive techniques,clinical laboratory techniques,molecular sequence data,microbiological phenomena,biology
2057,cross protection,immunity,virus physiological phenomena,microbiological phenomena,immunity,virus diseases,infections
4471,"infant , extremely premature","infant , premature","infant , premature","infant , newborn","infant , low birth weight",infant,age groups
5701,"multiple sclerosis , chronic progressive",multiple sclerosis,disease attributes,metabolic diseases,rehabilitation,neoplasms,health
100,acupuncture,health occupations,acupuncture therapy,spiritual therapies,"medicine , traditional",complementary therapies,philosophy
255,air bags,protective devices,equipment and supplies,protective devices,surgical equipment,skeleton,insurance
1492,child protective services,government agencies,health services,community health services,public health practice,preventive health services,public health
4520,information dissemination,communication,communication,information science,information management,documentation,informatics
2403,directly observed therapy,therapeutics,comprehensive health care,"outcome and process assessment , health care",patient care management,epidemiologic study characteristics,drug therapy
5059,liver glycogen,glycogen,liver diseases,food,food and beverages,blood coagulation factor inhibitors,digestive system diseases
1907,consumer behavior,behavior,behavior,social behavior,health behavior,communication,nutritional physiological phenomena
8013,sex counseling,counseling,mental health services,community health services,health services,pharmaceutical services,patient care
8565,swimming pools,sports and recreational facilities,health facilities,locomotion,reproductive and urinary physiological phenomena,movement,body fluid compartments
8444,"stimulation , chemical",pharmacological phenomena,pharmacological phenomena,blood physiological phenomena,nervous system physiological phenomena,circulatory and respiratory physiological phenomena,reproductive and urinary physiological phenomena
4644,international council of nurses,"societies , nursing",organizations,voluntary health agencies,societies,occupational groups,health services administration
1468,"child , exceptional","persons; psychology , educational",persons,population groups,age groups,occupational groups,health personnel
5471,"mice , inbred balb c","mice , inbred strains","mice , inbred strains","animals , inbred strains",mice,"animals , laboratory",animal population groups
1137,carbohydrate biochemistry,biochemistry,biochemistry,biological science disciplines,microbiology,genetics,biology
7641,retinal hemorrhage,eye hemorrhage; retinal diseases,hemorrhage,retinal diseases,eye diseases,skin diseases,vascular diseases
6450,patient care bundles,therapeutics,comprehensive health care,delivery of health care,patient care,patient care management,health planning
1968,corneal endothelial cell loss,postoperative complications; corneal diseases,corneal diseases,eye diseases,retinal diseases,anterior eye segment,eye
7573,research embryo creation,embryo research,epidemiologic research design,reproductive techniques,technology,biomedical research,clinical laboratory techniques
6228,optical restriction mapping,restriction mapping,chromosome mapping,molecular probe techniques,diagnostic imaging,microscopy,genetic techniques
9092,uterine cervical erosion,uterine cervical diseases,uterine cervical diseases,uterine diseases,"genital diseases , female","genital diseases , male",reproductive physiological phenomena
7932,self medication,self care; drug therapy,drug therapy,drug resistance,drug administration routes,mental disorders,neoplasms
8427,static electricity,electricity,electricity,electromagnetic phenomena,magnetic phenomena,electromagnetic radiation,electrical equipment and supplies
2008,cost of illness,costs and cost analysis; health status indicators,health care costs,costs and cost analysis,vital statistics,economics,socioeconomic factors
6235,oral hygiene index,dental health surveys,dentistry,quality of health care,environment and public health,health surveys,"health care quality , access , and evaluation"
3547,"gene expression regulation , leukemic","gene expression regulation , neoplastic",gene expression regulation,mutation,genetic variation,genetic phenomena,neoplasms
7160,"psychology , military","psychology , applied","psychology , applied",psychology,"psychology , industrial","psychology , educational","psychology , social"
7691,right to health,human rights; health services accessibility,human rights,patient rights,civil rights,"social control , formal",delivery of health care
8511,sulfur acids,sulfur compounds,sulfur compounds,"amino acids , sulfur",amino acids,organic chemicals,oxides
3802,governing board,organization and administration,government agencies,government,organization and administration,federal government,"social control , formal"
7013,problem behavior,behavioral symptoms; child behavior,behavior,social behavior,behavior and behavior mechanisms,social problems,personality development
